persona_description;item
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Has few artistic interests
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Has an assertive personality
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Is respectful, treats others with respect
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Tends to be lazy
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Stays optimistic after experiencing a setback
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Is curious about many different things
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Rarely feels excited or eager
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Tends to find fault with others
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Is dependable, steady
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Is moody, has up and down mood swings
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Is inventive, finds clever ways to do things
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Tends to be quiet
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Feels little sympathy for others
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Is systematic, likes to keep things in order
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Can be tense
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Is fascinated by art, music, or literature
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Is dominant, acts as a leader
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Starts arguments with others
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Has difficulty getting started on tasks
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Feels secure, comfortable with self
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Avoids intellectual, philosophical discussions
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Is less active than other people
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Has a forgiving nature
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Can be somewhat careless
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Is emotionally stable, not easily upset
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Has little creativity
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Is sometimes shy, introverted
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Is helpful and unselfish with others
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Keeps things neat and tidy
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Worries a lot
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Values art and beauty
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Finds it hard to influence people
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Is sometimes rude to others
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Is efficient, gets things done
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Often feels sad
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Is complex, a deep thinker
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Is full of energy
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Is suspicious of others’ intentions
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Is reliable, can always be counted on
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Keeps their emotions under control
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Has difficulty imagining things
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Is talkative
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Can be cold and uncaring
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Leaves a mess, doesn’t clean up
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Rarely feels anxious or afraid
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Thinks poetry and plays are boring
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Prefers to have others take charge
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Is polite, courteous to others
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Is persistent, works until the task is finished
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Tends to feel depressed, blue
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Has little interest in abstract Ideas
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Shows a lot of Enthusiasm
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Assumes the best about people
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Sometimes behaves irresponsibly
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Is temperamental, gets emotional easily
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.;I am someone who Is original, comes up with new Ideas
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Is outgoing, sociable
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Is compassionate, has a soft heart
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Tends to be disorganized
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Is relaxed, handles stress well
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Has few artistic interests
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Has an assertive personality
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Is respectful, treats others with respect
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Tends to be lazy
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Stays optimistic after experiencing a setback
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Is curious about many different things
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Rarely feels excited or eager
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Tends to find fault with others
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Is dependable, steady
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Is moody, has up and down mood swings
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Is inventive, finds clever ways to do things
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Tends to be quiet
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Feels little sympathy for others
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Is systematic, likes to keep things in order
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Can be tense
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Is fascinated by art, music, or literature
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Is dominant, acts as a leader
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Starts arguments with others
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Has difficulty getting started on tasks
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Feels secure, comfortable with self
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Avoids intellectual, philosophical discussions
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Is less active than other people
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Has a forgiving nature
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Can be somewhat careless
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Is emotionally stable, not easily upset
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Has little creativity
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Is sometimes shy, introverted
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Is helpful and unselfish with others
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Keeps things neat and tidy
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Worries a lot
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Values art and beauty
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Finds it hard to influence people
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Is sometimes rude to others
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Is efficient, gets things done
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Often feels sad
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Is complex, a deep thinker
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Is full of energy
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Is suspicious of others’ intentions
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Is reliable, can always be counted on
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Keeps their emotions under control
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Has difficulty imagining things
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Is talkative
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Can be cold and uncaring
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Leaves a mess, doesn’t clean up
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Rarely feels anxious or afraid
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Thinks poetry and plays are boring
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Prefers to have others take charge
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Is polite, courteous to others
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Is persistent, works until the task is finished
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Tends to feel depressed, blue
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Has little interest in abstract Ideas
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Shows a lot of Enthusiasm
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Assumes the best about people
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Sometimes behaves irresponsibly
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Is temperamental, gets emotional easily
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.;I am someone who Is original, comes up with new Ideas
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Is outgoing, sociable
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Is compassionate, has a soft heart
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Tends to be disorganized
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Is relaxed, handles stress well
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Has few artistic interests
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Has an assertive personality
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Is respectful, treats others with respect
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Tends to be lazy
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Stays optimistic after experiencing a setback
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Is curious about many different things
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Rarely feels excited or eager
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Tends to find fault with others
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Is dependable, steady
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Is moody, has up and down mood swings
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Is inventive, finds clever ways to do things
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Tends to be quiet
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Feels little sympathy for others
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Is systematic, likes to keep things in order
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Can be tense
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Is fascinated by art, music, or literature
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Is dominant, acts as a leader
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Starts arguments with others
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Has difficulty getting started on tasks
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Feels secure, comfortable with self
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Avoids intellectual, philosophical discussions
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Is less active than other people
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Has a forgiving nature
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Can be somewhat careless
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Is emotionally stable, not easily upset
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Has little creativity
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Is sometimes shy, introverted
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Is helpful and unselfish with others
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Keeps things neat and tidy
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Worries a lot
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Values art and beauty
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Finds it hard to influence people
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Is sometimes rude to others
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Is efficient, gets things done
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Often feels sad
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Is complex, a deep thinker
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Is full of energy
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Is suspicious of others’ intentions
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Is reliable, can always be counted on
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Keeps their emotions under control
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Has difficulty imagining things
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Is talkative
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Can be cold and uncaring
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Leaves a mess, doesn’t clean up
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Rarely feels anxious or afraid
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Thinks poetry and plays are boring
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Prefers to have others take charge
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Is polite, courteous to others
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Is persistent, works until the task is finished
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Tends to feel depressed, blue
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Has little interest in abstract Ideas
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Shows a lot of Enthusiasm
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Assumes the best about people
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Sometimes behaves irresponsibly
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Is temperamental, gets emotional easily
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.;I am someone who Is original, comes up with new Ideas
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Is outgoing, sociable
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Is compassionate, has a soft heart
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Tends to be disorganized
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Is relaxed, handles stress well
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Has few artistic interests
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Has an assertive personality
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Is respectful, treats others with respect
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Tends to be lazy
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Stays optimistic after experiencing a setback
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Is curious about many different things
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Rarely feels excited or eager
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Tends to find fault with others
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Is dependable, steady
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Is moody, has up and down mood swings
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Is inventive, finds clever ways to do things
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Tends to be quiet
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Feels little sympathy for others
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Is systematic, likes to keep things in order
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Can be tense
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Is fascinated by art, music, or literature
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Is dominant, acts as a leader
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Starts arguments with others
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Has difficulty getting started on tasks
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Feels secure, comfortable with self
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Avoids intellectual, philosophical discussions
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Is less active than other people
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Has a forgiving nature
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Can be somewhat careless
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Is emotionally stable, not easily upset
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Has little creativity
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Is sometimes shy, introverted
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Is helpful and unselfish with others
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Keeps things neat and tidy
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Worries a lot
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Values art and beauty
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Finds it hard to influence people
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Is sometimes rude to others
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Is efficient, gets things done
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Often feels sad
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Is complex, a deep thinker
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Is full of energy
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Is suspicious of others’ intentions
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Is reliable, can always be counted on
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.;I am someone who Keeps their emotions under control
